"Código","Descripción","Forma","Concentración","Pres.","I NA","II NA","III NA","Vía Adm.","Indicaciones","Reg. Terapéutico"
"A02AF01","Magaldrato con simeticona (Hidróxido de Al y Mg)","Liquido oral","800 mg/10 mL +  60 mg/10 mL","G","1","1","1","O        Oral","Antiácido - demulcente: Coadyuvante en el alivio sintomático y temporal de los síntomas relacionados con la hiperacidez ocasional, incluidas dispepsia y pirosis. Antiflatulento: Apoyo en el manejo de los trastornos gastrointestinales asociados a exceso de gas, flatulencias y meteorismo.",""
"A02BC01","Omeprazol","Solido oral","20 mg","G","1","1","1","O        Oral","Enfermedad por reflujo gastroesofágico en adultos y niñosEsofagitis erosiva o no erosiva en adultos y niños Esófago de Barret con o sin estenosis esofágica Erradicación de Helicobacter pylori Enfermedad de úlcera péptica duodenales o gástricas de cualquier etiología Síndrome de Zollinger-Ellison (gastrinoma) Hipersecreción ácida nocturna o diurna",""
"A02BC01","Omeprazol","Solido oral (polvo)","10 mg/5 mL","G","1","1","1","O        Oral","Enfermedad por reflujo gastroesofágico en adultos y niñosEsofagitis erosiva o no erosiva en adultos y niños Esófago de Barret con o sin estenosis esofágica Erradicación de Helicobacter pylori Enfermedad de úlcera péptica duodenales o gástricas de cualquier etiología Síndrome de Zollinger-Ellison (gastrinoma) Hipersecreción ácida nocturna o diurna",""
"A02BC01","Omeprazol","Solido parenteral","40 mg","(p)  Protocolo","1","1","1","P         Parenteral","Enfermedad por reflujo gastroesofágico en adultos y niñosEsofagitis erosiva o no erosiva en adultos y niños Esófago de Barret con o sin estenosis esofágica Erradicación de Helicobacter pylori Enfermedad de úlcera péptica duodenales o gástricas de cualquier etiología Síndrome de Zollinger-Ellison (gastrinoma) Hipersecreción ácida nocturna o diurna",""
"A03BA01","Atropina","Liquido parenteral","1 mg/mL","G","1","1","1","P         Parenteral","Indicación general:Alivio sintomático de trastornos gastro-intestinales caracterizados por espasmo del músculo liso, premedicación anestésica.Tratamiento de arritmias cardíacas y bradicardia sinusal asociada o no a medicamentos como propofol. Bradicardia transoperatoria. Antídoto:Intoxicación por organofosforados y carbamatos.Coadyuvante de neostigmina para revertir bloqueo neuromuscular no despolarizante. Tratamiento de sobredosis por parasimpaticomiméticos.",""
"A03BB01","Butilescopolamina(N-butilbromuro de hioscina)","Liquido parenteral","20 mg/mL","G","1","1","1","P         Parenteral","Indicación general: Antiespasmódico (vías biliares, intestino y vías urinarias), al disminuir el peristaltismo ayuda a mejorar la calidad de imagen y visualizacion de estructuras en estudios de RM abdominal y TAC.",""
"A03FA01","Metoclopramida","Liquido parenteral","5 mg/mL","G","1","1","1","P         Parenteral","Indicación general:Náusea y vómito de causa conocida, postquirúrgico o inducido por quimioterapia y radioterapia. Gastroparesia, reflujo gastro - esofágico, vaciamiento gástrico lento, hipo.Coadyuvante para intubación gastrointestinal o radiografías de contraste del tubo gastrointestinal.",""
"A03FA01","Metoclopramida","Solido oral","10 mg","G","1","1","1","O        Oral","Indicación general:Náusea y vómito de causa conocida, postquirúrgico o inducido por quimioterapia y radioterapia. Gastroparesia, reflujo gastro - esofágico, vaciamiento gástrico lento, hipo.Coadyuvante para intubación gastrointestinal o radiografías de contraste del tubo gastrointestinal.",""
"A04AA01","Ondansetrón","Liquido parenteral","2 mg/mL","E    Especialista","","1","1","P         Parenteral","Indicación general: Profilaxis y manejo de la náusea y el vómito inducidos por quimioterapia con medicamentos citotóxicos de riesgo emético moderado y alto.Profilaxis y manejo de la náusea y el vómito inducidos por radioterapia. Alternativa para el vómito postoperatorio.Prurito causado por colestasis u opioides. ",""
"A04AA01","Ondansetrón","Solido oral","4 mg y 8 mg","F,E Continuidad por especialista","1","1","1","O        Oral","Indicación general: Profilaxis y manejo de la náusea y el vómito inducidos por quimioterapia con medicamentos citotóxicos de riesgo emético moderado y alto.Profilaxis y manejo de la náusea y el vómito inducidos por radioterapia. Alternativa para el vómito postoperatorio.Prurito causado por colestasis u opioides. ",""
"A04AD12","Aprepitant*","Solido oral","80 mg y 125 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación aprobada en la 11ª Revisión del CNMB:  Prevención de las náuseas y los vómitos que se asocian con la quimioterapia antineoplásica y altamente emetógena. 11a rev.",""
"A06AD11","Lactulosa","Liquido oral","65 %","G","1","1","1","O        Oral","Indicación general:Estreñimiento. Encefalopatía hepática, excepto en niños.",""
"A06AD65","Macrogol (polietilenglicol) en combinaciones","Solido oral (granulado)","","G","1","1","1","O        Oral","Indicación general:Preparación para endoscopias, colonoscopias, cirugía de abdomen, estudios de imagen con medios de contraste. Constipación crónica. Impactación fecal sin obstrucción intestinal. Antídoto:Puede considerarse para ingestiones potencialmente tóxicas de medicamentos de liberación sostenida o con cubierta entérica como el ácido valproico, teofilina, ácido acetil salicilico, verapamilo, diltiazem, medicamentos que no se adsorben con carbón activado como el litio, potasio y hierro, y para la eliminación de drogas ilícitas que son transportados en ""packer"" o ""stuffers"".",""
"A06AG04","Glicerol","Solido rectal","0,88 g - 3 g","G","1","1","1","R          Rectal","Indicación general: Estreñimiento o impactación fecal si los laxantes orales no han sido útiles.",""
"A07AA02","Nistatina","Liquido oral","100.000 UI/mL","G","1","1","1","O        Oral","Indicación general:Tratamiento de candidiasis orofaringea, esofágica e intestinal.    ",""
"A07BA01","Carbón medicinal (activado)","Solido oral (polvo)","","G","1","1","1","O        Oral","Antídoto: Descontaminación gastrointestinal en la mayoría de las intoxicaciones, puede usarse en dosis única, dosis repetidas (multidosis) o combinarse con otros métodos.",""
"A07CA","Sales de rehidratación oral","Solido oral (polvo)","Glucosa  13,5 g/L - 20 g/L Cloruro de Sodio  2,6 g/L - 3,5 g/L Cloruro de Potasio   1,5 g/L Citrato trisódico dihidrato  2,9 g/L Nota: se pueden adherir otros elementos como el zinc, siempre y cuando se cumplan con los requerimientos aquí detallados","G","1","1","1","O        Oral","Indicación general: Terapia de Rehidratación Oral (TRO), en niños y adultos, con deshidratación por vómito y diarrea.",""
"A07DA03","Loperamida","Solido oral","2 mg","G","1","1","1","O        Oral","Indicación general:Diarrea crónica. Diarrea aguda del viajero.",""
"A07EC01","Sulfasalazina","Solido oral","500 mg","E    Especialista","","1","1","O        Oral","Indicación general:Colitis ulcerosa. Enfermedad de Crohn. Artritis reumatoide.",""
"A07EC02","Mesalazina*","Solido oral","500 mg","E    Especialista","","1","1","O        Oral","Indicación exclusiva: Tratamiento de la fase aguda de la colitis ulcerosa leve a moderada.",""
"A07EC02","Mesalazina*","Solido oral (polvo)","1 g y 2 g","E    Especialista","","1","1","O        Oral","Indicación exclusiva: Tratamiento de la fase aguda de la colitis ulcerosa leve a moderada.",""
"A07EC02","Mesalazina*","Solido rectal","1 g","E    Especialista","","1","1","R          Rectal","Indicación exclusiva: Tratamiento de la fase aguda de la colitis ulcerosa leve a moderada.",""
"A07EC02","Mesalazina*","Liquido rectal","1 g - 4 g","E    Especialista","","1","1","R          Rectal","Indicación exclusiva: Tratamiento de la fase aguda de la colitis ulcerosa leve a moderada.",""
"A09AA02","Multienzimas  (lipasa, proteasa, amilasa)*","Solido oral ( capsula con microesferas gastroresistentes)","Pancreatina: 150 mg (Amilasa: 8.000 UI Lipasa: 10.000 UI Proteasa: 600 UI) Nota: se consideran equivalentes las unidades de la farmacopea europea (U.Ph.Eur) y unidades de la farmacopea americana (USP)","E (p) Especialista, Protocolo","","","1","O        Oral","Indicación exclusiva: Insuficiencia pancreática exócrina provocada por fibrosis quística, pancreatitis crónica, pancreatectomía, gastrectomía total y resecciones gástricas parciales, obstrucción de conductos por neoplasias. Malformaciones de la vía biliar en neonatos.",""
"A10AB01","Insulina humana  (acción rápida)","Liquido parenteral","100 UI/mL","G","1","1","1","P         Parenteral","Indicación general:Diabetes mellitus (tipo I y II). Diabetes mellitus gestacional.",""
"A10AB04","Insulina Ultrarápida (lispro)*","Liquido parenteral (plumas/cartuchos )","100 UI/mL","E    Especialista","","1","1","P         Parenteral","Indicación exclusiva: Pacientes adultos y niños con diabetes tipo  I.Pacientes con diabetes mellitus gestacional.",""
"A10AB05","Insulina Ultrarápida (asparta)*","Liquido parenteral","100 UI/mL","E    Especialista","1","1","1","P         Parenteral","Indicación exclusiva:Pacientes adultos y niños con diabetes tipo  I.Pacientes con diabetes mellitus gestacional.",""
"A10AB05","Insulina Ultrarápida (asparta)*","Liquido parenteral (plumas/cartuchos )","100 UI/mL","E    Especialista","1","1","1","P         Parenteral","Indicación exclusiva:Pacientes adultos y niños con diabetes tipo  I.Pacientes con diabetes mellitus gestacional.",""
"A10AC01","Insulina humana NPH  (acción intermedia)","Liquido parenteral","100 UI/mL","G","1","1","1","P         Parenteral","Indicación general:Diabetes tipo 1.Diabetes tipo 2.Diabetes mellitus gestacional.Coadyuvante en estados hiperglicémicos.  ",""
"A10AE04","Insulina Glargina*","Liquido parenteral","100 UI/mL","E    Especialista","1","1","1","P         Parenteral","Indicación exclusiva: Diabetes mellitus tipo 1.Diabetes mellitus tipo 2 en insulinoterapia con NPH que presentan riesgo de hipoglicemia severa (Hipoglicemia severa: una hipoglicemia que requiere ayuda de otra persona para superarla).",""
"A10AE04","Insulina Glargina*","Liquido parenteral (plumas/cartuchos )","100 UI/mL","E    Especialista","1","1","1","P         Parenteral","Indicación exclusiva: Diabetes mellitus tipo 1.Diabetes mellitus tipo 2 en insulinoterapia con NPH que presentan riesgo de hipoglicemia severa (Hipoglicemia severa: una hipoglicemia que requiere ayuda de otra persona para superarla).",""
"A10BA02","Metformina","Solido oral","500 mg - 1000 mg","G","1","1","1","O        Oral","Indicación general: Terapia farmacológica inicial y preferida para el tratamiento de la diabetes mellitus tipo 2 en niños y adultos.",""
"A10BB09","Gliclazida*","Solido parenteral (Liberacion prolongada)","30 mg y 60 mg","G","1","1","1","O        Oral","Indicación exclusiva: Diabetes mellitus tipo 2, cuando metformina en monoterapia a dosis máxima no es suficiente para lograr control glicémico individualizado.",""
"A10BK01","Dapagliflozina*","Solido oral","10 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación aprobada en la 11ª Revisión del CNMB: Tercer escalón de tratamiento en pacientes con insuficiencia cardíaca con fracción de eyección pese a tratamiento médico óptimo, con o sin diabetes mellitus, y tasa de filtración glomerular superior a los valores bajo los cuales estaría contraindicado su uso.",""
"A10BK03","Empagliflozina*","Solido oral","10 mg - 25 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación aprobada en la 11ª Revisión del CNMB: Tercer escalón de tratamiento en pacientes con insuficiencia cardíaca con fracción de eyección pese a tratamiento médico óptimo, con o sin diabetes mellitus, y tasa de filtración glomerular superior a los valores bajo los cuales estaría contraindicado su uso.",""
"A11AA03","Multivitaminas y otros minerales, incluido combinaciones: •Tiamina (Vitamina B1) •Nicotinamida (Vitamina B3) •Piridoxina (Vitamina B6) •Cianocobalamina  (Vitamina B12) •Ácido ascórbico  (Vitamina C) •Vitamina A •Zinc","Liquido oral (jarabe/gotas)","Tiamina 0,5 - 1,2 mg/5 mL  Nicotinamida  6 - 16 mg/5 mL Piridoxina  0,5 - 1 mg/5 mL Cianocobalamina  1 - 2 mcg/5 mL Ácido Ascórbico  15 - 50 mg/5 mL Vitamina A  1.000 - 3. 000 UI/5 mL Zinc  3 - 8 mg/5 mL Nota: se describen los componentes y concentraciones  mínimas necesarios  de esta combinación, se pueden adherir otros micronutrientes, siempre y cuando se cumplan con los requerimientos aquí detallados. Se entiende esta equivalencia de jarabe  para  líquido oral en gotas.","G","1","1","1","O        Oral","Indicación general:Uso exclusiva en trastornos por deficiencias nutricionales.",""
"A11CA01","Retinol (Vitamina A)*","Liquido oral","50.000 UI","G","1","1","1","O        Oral","Indicación exclusiva: Tratamiento y profilaxis de la deficiencia de vitamina A.",""
"A11CA01","Retinol (Vitamina A)*","Solido oral ( capsula blanda)","50.000 UI","G","1","1","1","O        Oral","Indicación exclusiva: Tratamiento y profilaxis de la deficiencia de vitamina A.",""
"A11CC04","Calcitriol","Solido oral","0,5 mcg","E    Especialista","","1","1","O        Oral","Indicación general: Hiperparatiroidismo secundario a insuficiencia renal crónica. Hipoparatiroidismo y pseudo hipoparatiroidismo.",""
"A11DA01","Tiamina (Vitamina B1)","Liquido parenteral","50 mg/mL","G","1","1","1","P         Parenteral","Indicación general:Profilaxis y tratamiento de su deficiencia (Beriberi). Profilaxis y tratamiento de la encefalopatía de Wernicke y síndrome de Korsakoff.Tratamiento de enfermedades metabólicas como cetoaciduria y deficiencia de piruvato deshigrogenasa.",""
"A11DA01","Tiamina (Vitamina B1)","Solido oral","50 mg","G","1","1","1","O        Oral","Indicación general:Profilaxis y tratamiento de su deficiencia (Beriberi). Profilaxis y tratamiento de la encefalopatía de Wernicke y síndrome de Korsakoff.Tratamiento de enfermedades metabólicas como cetoaciduria y deficiencia de piruvato deshigrogenasa.",""
"A11DB","Complejo B:   Tiamina (Vitamina B1)  Piridoxina (Vitamina B6)   Cianocobalamina  (Vitamina B12)","Liquido parenteral","100 mg  100 mg  1 mg","G","1","1","1","P(IM) Parenteral (Intramuscular)","Indicación general:Profilaxis y tratamiento de sus deficiencias: Neuropatía asociada a toxicidad de isoniazida, cicloserina y otros medicamentos. Anemia perniciosa por falta o inhibición del factor intrínseco.",""
"A11DB","Complejo B:  Tiamina (Vitamina B1) Piridoxina (Vitamina B6)  Cianocobalamina  (Vitamina B12)","Solido oral",">= 4 mg >= 1 mg >= 1 mcg","G","1","1","1","O        Oral","Indicación general:Profilaxis y tratamiento de sus deficiencias: Neuropatía asociada a toxicidad de isoniazida, cicloserina y otros medicamentos. Anemia perniciosa por falta o inhibición del factor intrínseco.",""
